txn_id,customer_id,amount,currency,status,created_at
1,CS-001,176.98,USD,pending,2026-09-15T05:38:00
2,CS-002,255.09,USD,pending,2026-09-15T08:20:00
3,CS-003,145.11,USD,declined,2026-09-15T14:12:00
4,CS-004,313.69,USD,approved,2026-09-15T04:54:00
5,CS-005,442.28,USD,approved,2026-09-15T12:47:00
6,CS-006,232.18,USD,pending,2026-09-15T00:30:00
7,CS-007,126.49,USD,declined,2026-09-15T04:04:00
8,CS-008,388.56,USD,pending,2026-09-15T18:47:00
9,CS-009,215.6,USD,approved,2026-09-15T08:11:00
10,CS-010,163.76,USD,declined,2026-09-15T14:47:00
11,CS-011,15.69,USD,approved,2026-09-15T21:31:00
12,CS-012,136.35,USD,pending,2026-09-15T17:49:00
13,CS-013,466.38,USD,approved,2026-09-15T11:41:00
14,CS-014,279.56,USD,pending,2026-09-15T11:28:00
15,CS-015,489.44,USD,pending,2026-09-15T03:44:00
16,CS-016,352.54,USD,approved,2026-09-15T02:46:00
17,CS-017,55.03,USD,approved,2026-09-15T03:28:00
18,CS-018,4.72,USD,approved,2026-09-15T03:55:00
19,CS-019,215.85,USD,declined,2026-09-15T14:26:00
20,CS-020,413.52,USD,declined,2026-09-15T05:55:00
21,CS-021,220.24,USD,declined,2026-09-15T01:38:00
22,CS-022,34.12,USD,declined,2026-09-15T03:48:00
23,CS-023,428.82,USD,approved,2026-09-15T12:13:00
24,CS-024,18.51,USD,approved,2026-09-15T09:29:00
25,CS-025,408.47,USD,approved,2026-09-15T17:07:00
26,CS-026,128.92,USD,pending,2026-09-15T19:00:00
27,CS-027,254.41,USD,declined,2026-09-15T12:21:00
28,CS-028,478.64,USD,declined,2026-09-15T08:32:00
29,CS-029,407.28,USD,declined,2026-09-15T03:34:00
30,CS-030,147.16,USD,approved,2026-09-15T01:09:00
31,CS-031,214.79,USD,pending,2026-09-15T21:28:00
32,CS-032,58.78,USD,pending,2026-09-15T20:41:00
33,CS-033,125.0,USD,pending,2026-09-15T13:00:00
34,CS-034,97.85,USD,approved,2026-09-15T15:52:00
35,CS-035,108.06,USD,approved,2026-09-15T07:45:00
36,CS-036,73.88,USD,declined,2026-09-15T20:52:00
37,CS-037,211.28,USD,approved,2026-09-15T01:16:00
38,CS-038,237.57,USD,declined,2026-09-15T14:48:00
39,CS-039,75.06,USD,declined,2026-09-15T09:15:00
40,CS-040,115.57,USD,approved,2026-09-15T10:22:00
41,CS-041,123.35,USD,declined,2026-09-15T19:57:00
42,CS-042,357.16,USD,pending,2026-09-15T22:22:00
43,CS-043,245.04,USD,declined,2026-09-15T06:52:00
44,CS-044,447.8,USD,pending,2026-09-15T10:19:00
45,CS-045,474.44,USD,declined,2026-09-15T15:09:00
46,CS-046,140.57,USD,pending,2026-09-15T18:20:00
47,CS-047,164.86,USD,declined,2026-09-15T23:21:00
48,CS-048,63.79,USD,pending,2026-09-15T03:45:00
49,CS-049,317.99,USD,pending,2026-09-15T14:57:00
50,CS-050,312.61,USD,approved,2026-09-15T16:57:00
51,CS-051,286.8,USD,declined,2026-09-15T10:39:00
52,CS-052,265.56,USD,approved,2026-09-15T07:41:00
53,CS-053,262.31,USD,pending,2026-09-15T09:02:00
54,CS-054,227.64,USD,pending,2026-09-15T21:52:00
55,CS-055,102.8,USD,pending,2026-09-15T21:41:00
56,CS-056,382.04,USD,approved,2026-09-15T01:24:00
57,CS-057,496.51,USD,pending,2026-09-15T06:22:00
58,CS-058,424.07,USD,declined,2026-09-15T06:41:00
59,CS-059,56.48,USD,approved,2026-09-15T04:04:00
